NCR ID,Entity Name,Regional Compliance Enforcement Authority,BA,DP,GO Category 1,GO Category 2,GOP Category 1,GOP Category 2,PCPA,RC,RP,RSG,TO,TOP,TP,TSP,DPUF,FRSG,RRSG
NCR10019,"NextEra Energy Resources, LLC",SERC,,,GO-1,GO-2,GOP-1,GOP-2,,,,,,,,,,,
NCR01279,North Carolina Electric Membership Corporation,SERC,,DP,GO-1,,GOP-1,,,,RP,,,,,,,,
NCR11016,Northeast Louisiana Power Cooperative Inc.,SERC,,DP,,,,,,,,,TO,,,,,,
NCR10281,Northern Virginia Electric Cooperative,SERC,,DP,,,,,,,,,,,,,,,
NCR12096,NovaSource Power Services,SERC,,,,,GOP-1,GOP-2,,,,,,,,,,,
NCR11584,NRG Energy Services LLC - Plum Point,SERC,,,,,GOP-1,,,,,,,,,,,,
NCR12362,"Oak Trail Solar, LLC",SERC,,,GO-1,,,,,,,,,,,,,,
NCR09019,Occidental Chemical Corporation,SERC,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR01287,Oglethorpe Power Corporation,SERC,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR00859,Old Dominion Electric Cooperative,SERC,,DP,GO-1,,GOP-1,,,,,,,,,,,,
NCR12355,Onward Energy ROC LLC,SERC,,,,,GOP-1,GOP-2,,,,,,,,,,,
NCR12161,"Origis Services, LLC",SERC,,,,,GOP-1,GOP-2,,,,,,,,,,,
NCR00057,Orlando Utilities Commission,SERC,,DP,GO-1,,GOP-1,,PCPA,,RP,,TO,TOP,TP,TSP,,,
NCR01290,"Owensboro, KY Municipal Utilities",SERC,,DP,,,,,PCPA,,RP,,TO,TOP,TP,,,,
NCR12552,"Oxbow Solar Farm 1, LLC",SERC,,,GO-1,,,,,,,,,,,,,,
NCR03041,Paducah Power System,SERC,,DP,,,,,,,,,,,,,,,
NCR10054,Palm Beach Resource Recovery,SERC,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR11979,"Palmetto Plains Solar Project, LLC",SERC,,,GO-1,,,,,,,,,,,,,,
NCR13543,"Partin Solar, LLC",SERC,,,,GO-2,,,,,,,,,,,,,
NCR11808,Pattern Operators LP,SERC,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR13056,Pelican Power LLC,SERC,,,,,,,,,,,TO,,,,,,
NCR12303,"Phobos Solar, LLC",SERC,,,GO-1,,,,,,,,,,,,,,
NCR11477,"Piedmont Green Power, LLC",SERC,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR13545,"Pineview Solar, LLC",SERC,,,GO-1,,,,,,,,,,,,,,
NCR00879,"PJM Interconnection, LLC",SERC,BA,,,,,,PCPA,RC,RP,,,TOP,TP,TSP,,,
NCR10385,"Plum Point Energy Associates (PPEA), LLC - GO",SERC,,,GO-1,,,,,,,,,,,,,,
NCR11720,"Potomac Energy Center, LLC",SERC,,,GO-1,,,,,,,,,,,,,,
NCR10203,PowerSouth Energy Cooperative,SERC,,DP,GO-1,,GOP-1,,PCPA,,RP,,TO,TOP,TP,,,,
NCR12518,"Prairie Mist Solar Project, LLC",SERC,,,GO-1,,,,,,,,,,,,,,
NCR09035,"Prairie Power, Inc.",SERC,,DP,GO-1,,GOP-1,,,,RP,,TO,,TP,,,,
NCR12562,"Prairie Ronde Solar Farm, LLC",SERC,,,GO-1,,,,,,,,,,,,,,
NCR11175,Prairie State Generating Company,SERC,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR12131,"Prairie State Solar, LLC",SERC,,,GO-1,,,,,,,,,,,,,,
NCR12175,Prairie Wolf Solar LLC,SERC,,,GO-1,,GOP-1,,,,,,,,,,,,
NCR11002,Princeton Electric Plant Board,SERC,,,,,,,,,,,,,,,DP-UFLS,,
NCR13062,"Prosperity Wind, LLC",SERC,,,GO-1,,,,,,,,,,,,,,
NCR01139,Public Service Commission Of Yazoo City,SERC,,,,,,,,,,,,,,,DP-UFLS,,
NCR12507,"QE Solar, LLC",SERC,,,,,GOP-1,GOP-2,,,,,,,,,,,
NCR12223,Recurrent Energy Power Services (USA) LLC,SERC,,,GO-1,,GOP-1,GOP-2,,,,,,,,,,,
